platform,author,rating,title,content,updated,app_id,thumbs_up,appVersion
iOS,minddung__,5,비교견적 사용 만족,"비교견적 믿고 서비스 이용해봤는데,
앱 안에서 모든 과정이 한눈에 보여서 사용하기 정말 편했어요.
실시간으로 딜러 견적을 확인할 수 있어서 서비스 만족도 높았습니다!",2025-11-13 17:11:34-07:00,404512755,0,6.4.7
iOS,ssssssssunshi,5,최대매물,개미지옥 같은 엔카.. 매물이 너무 많아서 넘나 재밌어요..,2025-11-12 21:30:38-07:00,404512755,0,6.4.7
iOS,별별어느별,5,만족스런 엔카 리뷰,"믿고 사용할 수 있는 엔카! 
매물도 다양하고, 검색 필터가 세분화돼서 원하는 차량 찾기가 훨씬 수월해졌어요. 이전보다 앱 안전성도 좋아져서 렉이나 로딩 문제 없이 편하게 이용 중입니다 :)",2025-11-12 01:33:17-07:00,404512755,0,6.4.7
iOS,Zeus6860,4,개선 사항,"옵션 개편이 필요합니다.
렌트이력x만 보기, 1인 소유만 보기,
그리고 이건 반드시 해야합니다.
Suv 차종별로 구분좀 해서 볼 수 있게 해주십쇼.",2025-11-04 17:39:33-07:00,404512755,0,6.4.6
iOS,어쩔티비빤스,1,로그인이 안 돼요,로그인이 안 됩니다 업데이트도 했는데 ㅡㅡ,2025-10-30 02:10:32-07:00,404512755,0,6.4.4
iOS,🤢🥴🤐🥱😴,5,제발 소프트웨어 관리좀…,아이폰 17프로 사용중인데 앱만 들어가면 잔렉이 너무 심해요… 렉 버퍼링좀 해결해주세요,2025-10-27 04:56:15-07:00,404512755,0,6.4.2
iOS,빚다만 내 얼굴,3,판매자와 오픈채팅,"이럴거면 왜 만들었나요?
길게 치면 일정 글자 이상은 무조건 잘리네요.
이걸 채팅이라고 부를 수가 있나요?",2025-10-21 18:45:41-07:00,404512755,0,6.4.2
iOS,튜닝카매니아,5,SK엔카 왜 못뜨는지 아십니까??,"일단 엔카??? 다 좋습니다. 평소 SK엔카를 사랑하는 유저이지만 오늘만은 쓴소리좀 하겠습니다.
보배드림이 왜 중고차계의 1등인지 아십니까??? 바로 저같은 차쟁이들은 튜닝카를 많이 보는데 보배드림같은 경우에는 튜닝카를 따로 볼수있습니다. 
누군가는 자동차를 그냥 타고다니는 이동수단에 불과하지만 남성의 70프로는 알게 모르게 튜닝에 관심이 있다고 보면되요.  그래서 보배드림이 중고차사이트에서 커뮤니티화 되는거구요.  업데이트해서 튜닝카만 따로 볼수있게 해주십시오.  솔직히 튜닝카 일반카 분류하는거 데이타 베이스 적으로  어렵지 않잖아요.  시스템에 대해 대략 알고있습니다. 
제가 장담합니다 튜닝카메뉴 새로 만들고  보배드림처럼 커뮤니티 게시판좀 만들어서 다같이 참여할수있게 만든다면 보배드림 재끼는건 일도 아니겠죠..  업데이트 부탁합니다.",2025-10-02 04:50:12-07:00,404512755,0,6.4.0
iOS,Westhouse123,1,옵션응  배제 하는 방식도 만들어줘요,예를 들어 썬룹 없는 차만 보이게 하는?,2025-09-07 01:23:05-07:00,404512755,0,6.3.6
iOS,환무룩,5,업데이트가안욈,가계약하고나서 업데이트떳는데 업데이트가 진행이안되네여..;,2025-08-22 21:47:20-07:00,404512755,0,6.3.4
iOS,//George Cho//,5,다 좋은데...,다크모드좀 넣어주세요 밤에 눈이 너무 아파요,2025-08-22 05:12:59-07:00,404512755,0,6.3.4
iOS,효성때려잡기,5,엔카통해 차량구입했네요,앤카믿고 통해 구입해서 좋아요 차량보고 마음에 안드는 차량은 다음에 안보기 설정하면 좋을고같습니다.,2025-08-22 00:06:06-07:00,404512755,0,6.3.4
iOS,써보고싶은뒵,5,cc(배기량) 분류는 안되는걸까요?,"대한민국 남자들 필수어플 엔카
딱 하나 바라는게 있다면 cc(배기량) 분류가있었으면 좋겠습니다 ㅠㅠ",2025-08-21 20:29:04-07:00,404512755,0,6.3.4
iOS,imusecarr,5,많아서 좋아요,검색 좋아요,2025-08-17 18:09:21-07:00,404512755,0,6.3.2
iOS,욱이씨,2,업데이트,"업데이트후 항상 문제가 많아요
지금도 마이페이지 회면이 반만 나옴",2025-08-01 04:59:06-07:00,404512755,0,6.2.8
iOS,jinungeem,1,허위매물 있어요,허위매물 있어요 시간낭비하지마셔요 다들,2025-07-30 20:40:58-07:00,404512755,0,6.2.8
iOS,진로봇,1,렌트이력 필터 만들어달라는건 계속 무시하시네요,지속적으로 요청 남기는데 항상 제 답변만 씹으시네ㅎㅎ,2025-07-30 16:43:23-07:00,404512755,0,6.2.7
