platform,author,rating,title,content,updated,app_id,thumbs_up,appVersion
iOS,노노성,5,세심한 고객관리,"등록부터 판매완료 시까지 세심하게 안내해주심에 감동받았습니다. 
판매직전에 “선그라스, 하이패스카드 ” 챙기라는 안내는 정말 정말 세심함이 느껴졌습니다. 정든차 보내는데 위안이 됐습니다. 번창하세요^^",2025-11-14 22:54:04-07:00,980166975,0,7.80.0
iOS,판메 후기,5,자동차 판매 구매,이 정도면 자동차매매단지 갈 필요가 없습니다;;,2025-11-12 20:41:50-07:00,980166975,0,7.80.0
iOS,두루두맨,5,최고의 선택,매우 감사드립니다.,2025-11-12 03:42:02-07:00,980166975,0,7.79.0
iOS,왜이러닝,5,최고에요,헤이딜러는 진짜 최곱니다 앞으로 여기만 이용할듯!,2025-11-11 20:07:29-07:00,980166975,0,7.79.0
iOS,아이오아2,5,좋은거래,좋은거래 했습니다 !,2025-11-10 22:15:12-07:00,980166975,0,7.79.0
iOS,완젼 강츄!!!,5,안전하고 신속하며 편리함,투명하게 진행해주셔서 놀랐어요,2025-11-07 00:34:53-07:00,980166975,0,7.78.0
iOS,뮤ㅓ로하디,5,개조음 왜안씀?,"원래 리뷰 안쓰는데 이건 진짜 좋음
중고차 팔때 진짜 꼭 써야함🤩🤩",2025-11-06 07:12:48-07:00,980166975,0,7.78.0
iOS,컴오,5,감사합니다 헤이딜러,감사합니다 헤이딜러 짱,2025-11-06 01:42:15-07:00,980166975,0,7.78.0
iOS,트리오스,5,아주 만족합니다.,"진짜 차 팔고 마음이 먹먹했는데, 차에게 메시지를 보내게 해 주셔서.. 참 인간적인 헤이딜러네요. 번창하시길.. 진짜 감동입니다.",2025-11-05 22:07:21-07:00,980166975,0,7.78.0
iOS,고고수,1,개인정보 털림,"헤이딜러에 중고차를 등록하는 과정에서 중고차 렌트사와 캐피탈에 내 정보가 전달되어 차량 알아보느냐는 전화와 대출신청했는지 문의하는 전화가 계속 오고 있습니다. 
그런 업체에서 전화 오지 못하게 하는 해결방법을 알려 주세요.",2025-11-05 21:51:13-07:00,980166975,0,7.78.0
iOS,에히메,5,넘사벽 중고차 거래 최고의 앱!,신뢰를 주기 위한 정성과 노력이 앱과 서비스 과정 곳곳에 진하게 묻어있습니다. 중고차 거래의 편견을 날려버려준 고마운 앱. 요즘 헤이딜러의 서비스를 따라하는 업체가 있는데 발끝도 못 쫒아옴.,2025-11-05 17:17:47-07:00,980166975,0,7.78.0
