platform,author,rating,title,content,updated,app_id,thumbs_up,appVersion
iOS,-로즈,1,중고차 첫구매라면 비추,"꼼꼼하게 알려주는 상황없고 이로인해피해는 구매자만손해 
불필요한 서류는 주지말길 해당없는 보증서류는 왜줬고 그에대해 나몰라라대처는 아니라고생각함",2025-11-19 03:55:52-07:00,1112366886,0,5.2.0
iOS,MR.jo star,5,감사합니다,감사합니다,2025-11-11 22:14:19-07:00,1112366886,0,5.2.0
iOS,힝힝리,1,로그인,카카오 아이디 있대서 로그인 연동하려고 해도 안되고 인증도 9번이나 했는데 쓰레기 같은 어플,2025-11-06 18:52:26-07:00,1112366886,0,5.1.1
iOS,엘봄,5,잼나요 ㅎㅎ,"이벤트 잼나요 이벤트가 ㅎㅎ
그리고 포인트 쌓는게 잼나네요",2025-10-25 13:17:20-07:00,1112366886,0,5.1.0
iOS,bbaekgom7,1,갈수록 거지같아지네,오류투성이에 이젠 앱시작하다 튕겨나가기 시작. 똑바로 안할래?,2025-10-21 03:17:16-07:00,1112366886,0,5.1.0
iOS,지아스민,5,믿을만한 KB에서 만든 중고차 거래 플랫폼,"솔직히 다른데는 모르겠고, KB라서 믿을만함",2025-10-15 00:46:58-07:00,1112366886,0,5.1.0
iOS,나는에스케이다,5,정말 도움 많이 받아요.,최근에 중고차를 알아보고 있는데 알찬 정보덕에 도움을 많이 받고 있네요!,2025-09-15 19:12:18-07:00,1112366886,0,5.0.7
iOS,우원채,1,로그인 계속 튕김,로그인 계속 튕깁니다. 점검해주세요,2025-08-28 16:29:33-07:00,1112366886,0,5.0.5
iOS,yelyel1212,5,kb차차차 어플 편하고 좋네요,"kb차차차 어플 처음 써보는데
편하고 좋네요",2025-08-22 00:09:23-07:00,1112366886,0,5.0.3
iOS,hahaha7909,1,1대1 문의하기가 없나요?,"딜러한테 문의 하기 말고 앱 사용문의 같은게 없나요?
내차팔기로 사진 올리고 경매 시작하기 누르면 데이터처리중 오류가 발생 했습니다. 뜨고 진행이 안되요.
여기서 차 팔고 싶겠습니까?",2025-08-07 17:25:14-07:00,1112366886,0,5.0.3
iOS,웬월,5,선물,굿,2025-08-07 13:52:19-07:00,1112366886,0,5.0.3
iOS,고흐곰,5,좋아요,속도빠르고 이벤트빠방,2025-07-20 06:53:10-07:00,1112366886,0,5.0.3
iOS,뚜아우지니맘,5,이벤트 잘걸려요!!!,고맙습니당,2025-07-03 17:55:55-07:00,1112366886,0,5.0.3
